opinion_leaf,opinion_label,attack_leaf,attack_label,n_profiles,sender_reach_alignment_z_original,sender_reach_alignment_z_private_retest_primary,sender_reach_alignment_z_private_retest_sensitivity,mean_pn_increment_effectivity_original,mean_pn_increment_effectivity_retest,mean_ae_total_network_original,mean_ae_total_network_retest,pn_increment_effectivity_original_pearson_r,pn_increment_effectivity_original_slope,pn_increment_effectivity_retest_pearson_r,pn_increment_effectivity_retest_slope,pn_increment_effectivity_slope_direction_preserved,ae_total_network_original_pearson_r,ae_total_network_original_slope,ae_total_network_retest_pearson_r,ae_total_network_retest_slope,ae_total_network_slope_direction_preserved
Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Misleading_Framing > Headline_And_Lede_Misframing,Headline_And_Lede_Misframing,30,-0.29622800189894005,0.4715497860565913,-0.02729500582514487,10.8,11.1,28.8,29.1,0.36611917887182566,9.993136617580099,0.3056607332730062,6.791940274169794,True,0.34290883960681007,29.41753245435145,0.32473490934815097,26.21633611094115,True
Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Emotional_And_Moral_Engineering > Fear_Appeals > Personal_Safety_Fear_Appeal,Personal_Safety_Fear_Appeal,30,-0.4614173788523841,-0.3215970765517501,-0.06779199759572575,9.5,12.733333333333333,28.466666666666665,31.7,0.36611917887182566,9.993136617580099,0.3056607332730062,6.791940274169794,True,0.34290883960681007,29.41753245435145,0.32473490934815097,26.21633611094115,True
Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Multi_Agent_Adversarial_Architecture > Adversarial_Conversation_Loops > Counter_Argument_Adaptation > Multi_Turn_Counter_Argument_Adaptation,Multi_Turn_Counter_Argument_Adaptation,30,0.3386393545416244,-0.0012694460130866076,-0.12916204551853844,22.633333333333333,22.333333333333332,68.23333333333333,67.93333333333334,0.36611917887182566,9.993136617580099,0.3056607332730062,6.791940274169794,True,0.34290883960681007,29.41753245435145,0.32473490934815097,26.21633611094115,True
Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Social_Proof_Network_And_Community_Manipulation > Consensus_Fabrication > Astroturf_Movements > Petition_Astroturf,Petition_Astroturf,30,-0.033228223116419875,0.0694107569291174,0.09637935289438986,18.966666666666665,19.0,52.96666666666667,53.0,0.36611917887182566,9.993136617580099,0.3056607332730062,6.791940274169794,True,0.34290883960681007,29.41753245435145,0.32473490934815097,26.21633611094115,True
Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Misleading_Framing > Headline_And_Lede_Misframing,Headline_And_Lede_Misframing,30,0.05108059091999481,0.3665834500428268,-0.35844636714750855,11.766666666666667,11.7,33.233333333333334,33.166666666666664,0.36611917887182566,9.993136617580099,0.3056607332730062,6.791940274169794,True,0.34290883960681007,29.41753245435145,0.32473490934815097,26.21633611094115,True
Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Emotional_And_Moral_Engineering > Fear_Appeals > Personal_Safety_Fear_Appeal,Personal_Safety_Fear_Appeal,30,-0.125811591031197,-0.3601124052905066,-0.12555714782380545,12.066666666666666,12.366666666666667,32.53333333333333,32.833333333333336,0.36611917887182566,9.993136617580099,0.3056607332730062,6.791940274169794,True,0.34290883960681007,29.41753245435145,0.32473490934815097,26.21633611094115,True
Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Multi_Agent_Adversarial_Architecture > Adversarial_Conversation_Loops > Counter_Argument_Adaptation > Multi_Turn_Counter_Argument_Adaptation,Multi_Turn_Counter_Argument_Adaptation,30,-0.016364032681253925,0.26174934215440737,0.17603138066754337,25.5,23.1,78.5,76.1,0.36611917887182566,9.993136617580099,0.3056607332730062,6.791940274169794,True,0.34290883960681007,29.41753245435145,0.32473490934815097,26.21633611094115,True
Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Social_Proof_Network_And_Community_Manipulation > Consensus_Fabrication > Astroturf_Movements > Petition_Astroturf,Petition_Astroturf,30,-0.09778702428251812,0.2901915808158593,-0.01183397771090757,21.566666666666666,20.066666666666666,58.43333333333333,56.93333333333333,0.36611917887182566,9.993136617580099,0.3056607332730062,6.791940274169794,True,0.34290883960681007,29.41753245435145,0.32473490934815097,26.21633611094115,True
Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Misleading_Framing > Headline_And_Lede_Misframing,Headline_And_Lede_Misframing,30,-0.03887442184876401,-0.013793183930730014,-0.02489935197796484,15.033333333333333,15.4,38.166666666666664,38.53333333333333,0.36611917887182566,9.993136617580099,0.3056607332730062,6.791940274169794,True,0.34290883960681007,29.41753245435145,0.32473490934815097,26.21633611094115,True
Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Emotional_And_Moral_Engineering > Fear_Appeals > Personal_Safety_Fear_Appeal,Personal_Safety_Fear_Appeal,30,0.27948115498165105,-0.18549978938134745,0.11400622094233782,13.866666666666667,13.233333333333333,35.93333333333333,35.3,0.36611917887182566,9.993136617580099,0.3056607332730062,6.791940274169794,True,0.34290883960681007,29.41753245435145,0.32473490934815097,26.21633611094115,True
