metric,group_type,n,spearman_rho,kendall_tau,median_abs_rank_shift,mean_abs_rank_shift,opinion_label,top_5_overlap,top_10_overlap,attack_label
B,opinion,30,0.7183537263626251,0.5310344827586206,4.0,4.866666666666666,Alliance_Commitment_Support,0.4,0.7,
B,opinion,30,0.6458286985539488,0.47126436781609193,4.5,5.333333333333333,Defense_Spending_Increase_Support,0.4,0.5,
B,opinion,30,0.9056729699666296,0.7379310344827587,3.0,3.066666666666667,Trust_In_Mainstream_Journalism,0.6,0.8,
BN,opinion,30,0.9701890989988877,0.8528735632183908,1.5,1.6666666666666667,Alliance_Commitment_Support,0.8,0.9,
BN,opinion,30,0.9234705228031145,0.8160919540229885,1.0,2.1333333333333333,Defense_Spending_Increase_Support,0.8,1.0,
BN,opinion,30,0.9822024471635149,0.9080459770114943,1.0,1.2,Trust_In_Mainstream_Journalism,0.8,0.9,
P,opinion × attack,30,0.9955506117908787,0.9632183908045977,0.0,0.4666666666666667,Alliance_Commitment_Support,1.0,1.0,Headline_And_Lede_Misframing
P,opinion × attack,30,0.9835372636262512,0.9080459770114943,1.0,1.0,Alliance_Commitment_Support,1.0,0.9,Multi_Turn_Counter_Argument_Adaptation
P,opinion × attack,30,0.9902113459399332,0.9448275862068966,0.0,0.6666666666666666,Alliance_Commitment_Support,1.0,0.8,Personal_Safety_Fear_Appeal
P,opinion × attack,30,0.9661846496106785,0.8574712643678161,1.0,1.6,Alliance_Commitment_Support,1.0,1.0,Petition_Astroturf
P,opinion × attack,30,0.9906562847608454,0.9540229885057471,0.0,0.6,Defense_Spending_Increase_Support,1.0,1.0,Headline_And_Lede_Misframing
P,opinion × attack,30,0.9679644048943271,0.8896551724137931,1.0,1.3333333333333333,Defense_Spending_Increase_Support,0.8,0.9,Multi_Turn_Counter_Argument_Adaptation
P,opinion × attack,30,0.9919911012235817,0.9494252873563218,0.0,0.6,Defense_Spending_Increase_Support,0.8,0.9,Personal_Safety_Fear_Appeal
P,opinion × attack,30,0.9724137931034482,0.8942528735632184,1.0,1.2,Defense_Spending_Increase_Support,1.0,1.0,Petition_Astroturf
P,opinion × attack,30,0.9777530589543939,0.8942528735632184,1.0,1.3333333333333333,Trust_In_Mainstream_Journalism,1.0,1.0,Headline_And_Lede_Misframing
P,opinion × attack,30,0.9866518353726361,0.9172413793103448,1.0,1.0666666666666667,Trust_In_Mainstream_Journalism,1.0,0.9,Multi_Turn_Counter_Argument_Adaptation
P,opinion × attack,30,0.9870967741935484,0.9264367816091954,1.0,0.9333333333333333,Trust_In_Mainstream_Journalism,1.0,1.0,Personal_Safety_Fear_Appeal
P,opinion × attack,30,0.9870967741935484,0.9218390804597701,1.0,0.9333333333333333,Trust_In_Mainstream_Journalism,1.0,0.8,Petition_Astroturf
PN,opinion × attack,30,0.9951056729699665,0.967816091954023,0.0,0.4,Alliance_Commitment_Support,1.0,1.0,Headline_And_Lede_Misframing
PN,opinion × attack,30,0.9982202447163514,0.9816091954022989,0.0,0.26666666666666666,Alliance_Commitment_Support,1.0,1.0,Multi_Turn_Counter_Argument_Adaptation
PN,opinion × attack,30,0.9964404894327029,0.967816091954023,0.0,0.4,Alliance_Commitment_Support,1.0,1.0,Personal_Safety_Fear_Appeal
PN,opinion × attack,30,0.9968854282536151,0.9770114942528736,0.0,0.3333333333333333,Alliance_Commitment_Support,1.0,1.0,Petition_Astroturf
PN,opinion × attack,30,0.9906562847608454,0.9494252873563218,0.0,0.6666666666666666,Defense_Spending_Increase_Support,0.8,1.0,Headline_And_Lede_Misframing
PN,opinion × attack,30,0.9893214682981089,0.9356321839080459,1.0,0.8,Defense_Spending_Increase_Support,1.0,1.0,Multi_Turn_Counter_Argument_Adaptation
PN,opinion × attack,30,0.9986651835372636,0.9862068965517241,0.0,0.2,Defense_Spending_Increase_Support,1.0,1.0,Personal_Safety_Fear_Appeal
PN,opinion × attack,30,0.9875417130144604,0.9356321839080459,0.0,0.7333333333333333,Defense_Spending_Increase_Support,1.0,1.0,Petition_Astroturf
PN,opinion × attack,30,0.9964404894327029,0.967816091954023,0.0,0.4,Trust_In_Mainstream_Journalism,1.0,1.0,Headline_And_Lede_Misframing
PN,opinion × attack,30,0.9924360400444937,0.9494252873563218,0.0,0.6666666666666666,Trust_In_Mainstream_Journalism,1.0,1.0,Multi_Turn_Counter_Argument_Adaptation
PN,opinion × attack,30,0.9959955506117909,0.9632183908045977,0.0,0.4666666666666667,Trust_In_Mainstream_Journalism,1.0,1.0,Personal_Safety_Fear_Appeal
PN,opinion × attack,30,0.9942157953281423,0.9494252873563218,0.0,0.6,Trust_In_Mainstream_Journalism,1.0,1.0,Petition_Astroturf
AE_private,opinion × attack,30,0.19688542825361513,0.14022988505747128,7.5,8.933333333333334,Alliance_Commitment_Support,0.2,0.3,Headline_And_Lede_Misframing
AE_private,opinion × attack,30,0.3050055617352614,0.21839080459770116,6.5,8.066666666666666,Alliance_Commitment_Support,0.6,0.4,Multi_Turn_Counter_Argument_Adaptation
AE_private,opinion × attack,30,0.05494994438264739,0.03908045977011494,10.0,9.933333333333334,Alliance_Commitment_Support,0.2,0.4,Personal_Safety_Fear_Appeal
AE_private,opinion × attack,30,-0.26896551724137935,-0.19080459770114944,8.5,11.266666666666667,Alliance_Commitment_Support,0.0,0.2,Petition_Astroturf
AE_private,opinion × attack,30,0.15283648498331479,0.12643678160919541,5.5,8.533333333333333,Defense_Spending_Increase_Support,0.2,0.4,Headline_And_Lede_Misframing
AE_private,opinion × attack,30,-0.014015572858731925,-0.006896551724137931,6.0,9.466666666666667,Defense_Spending_Increase_Support,0.2,0.4,Multi_Turn_Counter_Argument_Adaptation
AE_private,opinion × attack,30,0.12836484983314794,0.09885057471264368,7.0,8.733333333333333,Defense_Spending_Increase_Support,0.0,0.5,Personal_Safety_Fear_Appeal
AE_private,opinion × attack,30,0.21601779755283645,0.15402298850574714,6.0,8.266666666666667,Defense_Spending_Increase_Support,0.2,0.6,Petition_Astroturf
AE_private,opinion × attack,30,0.20444938820912126,0.14942528735632185,9.0,9.0,Trust_In_Mainstream_Journalism,0.2,0.5,Headline_And_Lede_Misframing
AE_private,opinion × attack,30,0.054505005561735265,0.0022988505747126436,8.0,9.8,Trust_In_Mainstream_Journalism,0.0,0.3,Multi_Turn_Counter_Argument_Adaptation
AE_private,opinion × attack,30,0.160845383759733,0.12643678160919541,9.0,9.2,Trust_In_Mainstream_Journalism,0.2,0.4,Personal_Safety_Fear_Appeal
AE_private,opinion × attack,30,-0.10567296996662959,-0.06206896551724138,11.5,11.0,Trust_In_Mainstream_Journalism,0.2,0.4,Petition_Astroturf
PN_increment_effectivity,opinion × attack,30,0.2516129032258065,0.2,4.0,8.0,Alliance_Commitment_Support,0.2,0.5,Headline_And_Lede_Misframing
PN_increment_effectivity,opinion × attack,30,0.36151279199110126,0.26436781609195403,6.0,7.533333333333333,Alliance_Commitment_Support,0.6,0.5,Multi_Turn_Counter_Argument_Adaptation
PN_increment_effectivity,opinion × attack,30,0.4082313681868743,0.3195402298850575,7.0,7.4,Alliance_Commitment_Support,0.2,0.6,Personal_Safety_Fear_Appeal
PN_increment_effectivity,opinion × attack,30,0.07853170189098999,0.052873563218390804,8.0,9.2,Alliance_Commitment_Support,0.2,0.4,Petition_Astroturf
PN_increment_effectivity,opinion × attack,30,-0.3067853170189099,-0.19080459770114944,9.5,11.933333333333334,Defense_Spending_Increase_Support,0.0,0.1,Headline_And_Lede_Misframing
PN_increment_effectivity,opinion × attack,30,0.2631813125695217,0.20919540229885059,7.0,8.0,Defense_Spending_Increase_Support,0.4,0.5,Multi_Turn_Counter_Argument_Adaptation
PN_increment_effectivity,opinion × attack,30,0.20800889877641823,0.14482758620689656,7.0,8.466666666666667,Defense_Spending_Increase_Support,0.2,0.5,Personal_Safety_Fear_Appeal
PN_increment_effectivity,opinion × attack,30,0.16840934371523916,0.14942528735632185,6.0,8.4,Defense_Spending_Increase_Support,0.2,0.5,Petition_Astroturf
PN_increment_effectivity,opinion × attack,30,0.1243604004449388,0.10804597701149425,8.0,9.2,Trust_In_Mainstream_Journalism,0.2,0.3,Headline_And_Lede_Misframing
