metric,grain,profile_id,opinion_label,attack_label,original,retest,fallback_pair,diff,mean_pair
BN,profile_opinion,profile_0003,Alliance_Commitment_Support,,-237.0,-187.0,False,50.0,-212.0
BN,profile_opinion,profile_0003,Defense_Spending_Increase_Support,,-137.0,-137.0,False,0.0,-137.0
BN,profile_opinion,profile_0003,Trust_In_Mainstream_Journalism,,-382.0,-402.0,False,-20.0,-392.0
BN,profile_opinion,profile_0019,Alliance_Commitment_Support,,-387.0,-321.0,False,66.0,-354.0
BN,profile_opinion,profile_0019,Defense_Spending_Increase_Support,,47.0,47.0,False,0.0,47.0
BN,profile_opinion,profile_0019,Trust_In_Mainstream_Journalism,,-523.0,-512.0,False,11.0,-517.5
BN,profile_opinion,profile_0032,Alliance_Commitment_Support,,47.0,80.0,False,33.0,63.5
BN,profile_opinion,profile_0032,Defense_Spending_Increase_Support,,-37.0,-38.0,False,-1.0,-37.5
BN,profile_opinion,profile_0032,Trust_In_Mainstream_Journalism,,-312.0,-313.0,False,-1.0,-312.5
BN,profile_opinion,profile_0052,Alliance_Commitment_Support,,283.0,319.0,False,36.0,301.0
BN,profile_opinion,profile_0052,Defense_Spending_Increase_Support,,153.0,137.0,False,-16.0,145.0
BN,profile_opinion,profile_0052,Trust_In_Mainstream_Journalism,,312.0,312.0,False,0.0,312.0
BN,profile_opinion,profile_0055,Alliance_Commitment_Support,,-87.0,-132.0,False,-45.0,-109.5
BN,profile_opinion,profile_0055,Defense_Spending_Increase_Support,,-23.0,-47.0,False,-24.0,-35.0
BN,profile_opinion,profile_0055,Trust_In_Mainstream_Journalism,,-383.0,-382.0,False,1.0,-382.5
BN,profile_opinion,profile_0065,Alliance_Commitment_Support,,-87.0,-87.0,False,0.0,-87.0
BN,profile_opinion,profile_0065,Defense_Spending_Increase_Support,,-217.0,-237.0,False,-20.0,-227.0
BN,profile_opinion,profile_0065,Trust_In_Mainstream_Journalism,,-348.0,-418.0,False,-70.0,-383.0
BN,profile_opinion,profile_0067,Alliance_Commitment_Support,,-214.0,-213.0,False,1.0,-213.5
BN,profile_opinion,profile_0067,Defense_Spending_Increase_Support,,-137.0,-173.0,False,-36.0,-155.0
BN,profile_opinion,profile_0067,Trust_In_Mainstream_Journalism,,-582.0,-583.0,False,-1.0,-582.5
BN,profile_opinion,profile_0068,Alliance_Commitment_Support,,-317.0,-283.0,False,34.0,-300.0
BN,profile_opinion,profile_0068,Defense_Spending_Increase_Support,,412.0,312.0,False,-100.0,362.0
BN,profile_opinion,profile_0068,Trust_In_Mainstream_Journalism,,-312.0,-312.0,False,0.0,-312.0
BN,profile_opinion,profile_0081,Alliance_Commitment_Support,,-112.0,-83.0,False,29.0,-97.5
BN,profile_opinion,profile_0081,Defense_Spending_Increase_Support,,-267.0,-283.0,False,-16.0,-275.0
BN,profile_opinion,profile_0081,Trust_In_Mainstream_Journalism,,-237.0,-169.0,False,68.0,-203.0
BN,profile_opinion,profile_0084,Alliance_Commitment_Support,,322.0,372.0,False,50.0,347.0
BN,profile_opinion,profile_0084,Defense_Spending_Increase_Support,,-237.0,-237.0,False,0.0,-237.0
BN,profile_opinion,profile_0084,Trust_In_Mainstream_Journalism,,-273.0,-312.0,False,-39.0,-292.5
