profile_id,component_type,component_name,component_key,attack_leaf,opinion_leaf,contribution,reliability_weight
profile_0001,task,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification || Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,political_opinion_cybermanipulation_ontology___primary_axis___attack_family___amplification_visibility_and_attention_manipulation___bot_cyborg_and_account_network_amplification___political_bot_amplification___repost_bot_amplification____issue_position_taxonomy___critical_infrastructure_and_energy_sovereignty___energy_sovereignty_investment_support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,0.9553634205664091,0.025031544417779588
profile_0005,task,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification || Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,political_opinion_cybermanipulation_ontology___primary_axis___attack_family___amplification_visibility_and_attention_manipulation___bot_cyborg_and_account_network_amplification___political_bot_amplification___repost_bot_amplification____issue_position_taxonomy___critical_infrastructure_and_energy_sovereignty___energy_sovereignty_investment_support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,0.7985065152610094,0.025031544417779588
profile_0019,task,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification || Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,political_opinion_cybermanipulation_ontology___primary_axis___attack_family___amplification_visibility_and_attention_manipulation___bot_cyborg_and_account_network_amplification___political_bot_amplification___repost_bot_amplification____issue_position_taxonomy___critical_infrastructure_and_energy_sovereignty___energy_sovereignty_investment_support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,0.853168639022866,0.025031544417779588
profile_0052,task,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification || Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,political_opinion_cybermanipulation_ontology___primary_axis___attack_family___amplification_visibility_and_attention_manipulation___bot_cyborg_and_account_network_amplification___political_bot_amplification___repost_bot_amplification____issue_position_taxonomy___critical_infrastructure_and_energy_sovereignty___energy_sovereignty_investment_support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,0.9547630344057773,0.025031544417779588
profile_0063,task,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification || Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,political_opinion_cybermanipulation_ontology___primary_axis___attack_family___amplification_visibility_and_attention_manipulation___bot_cyborg_and_account_network_amplification___political_bot_amplification___repost_bot_amplification____issue_position_taxonomy___critical_infrastructure_and_energy_sovereignty___energy_sovereignty_investment_support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,0.8829629524241688,0.025031544417779588
profile_0065,task,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification || Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,political_opinion_cybermanipulation_ontology___primary_axis___attack_family___amplification_visibility_and_attention_manipulation___bot_cyborg_and_account_network_amplification___political_bot_amplification___repost_bot_amplification____issue_position_taxonomy___critical_infrastructure_and_energy_sovereignty___energy_sovereignty_investment_support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,0.8151983826202569,0.025031544417779588
profile_0066,task,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification || Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,political_opinion_cybermanipulation_ontology___primary_axis___attack_family___amplification_visibility_and_attention_manipulation___bot_cyborg_and_account_network_amplification___political_bot_amplification___repost_bot_amplification____issue_position_taxonomy___critical_infrastructure_and_energy_sovereignty___energy_sovereignty_investment_support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,0.9624281901664221,0.025031544417779588
profile_0076,task,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification || Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,political_opinion_cybermanipulation_ontology___primary_axis___attack_family___amplification_visibility_and_attention_manipulation___bot_cyborg_and_account_network_amplification___political_bot_amplification___repost_bot_amplification____issue_position_taxonomy___critical_infrastructure_and_energy_sovereignty___energy_sovereignty_investment_support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,0.9989893017532888,0.025031544417779588
profile_0096,task,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification || Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,political_opinion_cybermanipulation_ontology___primary_axis___attack_family___amplification_visibility_and_attention_manipulation___bot_cyborg_and_account_network_amplification___political_bot_amplification___repost_bot_amplification____issue_position_taxonomy___critical_infrastructure_and_energy_sovereignty___energy_sovereignty_investment_support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,0.8358244233466517,0.025031544417779588
profile_0111,task,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification || Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,political_opinion_cybermanipulation_ontology___primary_axis___attack_family___amplification_visibility_and_attention_manipulation___bot_cyborg_and_account_network_amplification___political_bot_amplification___repost_bot_amplification____issue_position_taxonomy___critical_infrastructure_and_energy_sovereignty___energy_sovereignty_investment_support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,0.8423458247106101,0.025031544417779588
