feature,context,estimate,std_error,t_value,p_value,n_obs,n_clusters,q_value,label,ontology_group
profile_cat__profile_cat_sex_Female,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,-0.4077991356710057,0.5213061608201278,-0.782264178557662,0.43592637980285337,700,100,0.643982151981488,Sex Female,Demographics: Sex
profile_cat__profile_cat_sex_Male,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,0.4619436889802855,0.5694684646940766,0.8111839682438704,0.4192059686803413,700,100,0.6356756710622065,Sex Male,Demographics: Sex
profile_cat__profile_cat_sex_Other,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,-0.052619047619052554,0.5531594077422493,-0.09512456424418435,0.9244081634309603,700,100,0.9691375906937487,Sex Other,Demographics: Sex
profile_cont_big_five_agreeableness_altruism_pct,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,-0.5122879824895866,0.5584222264086937,-0.9173846567393923,0.3611706058833928,700,100,0.6071402426488068,Big Five Agreeableness Altruism %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_compliance_pct,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,-0.3195529354489661,0.608580271122272,-0.5250793537222038,0.6007019826048596,700,100,0.7564675146398236,Big Five Agreeableness Compliance %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_mean_pct,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,-0.5133031573612006,0.5439397099218075,-0.9436765656160477,0.34763226193906954,700,100,0.600670601600096,Big Five Agreeableness Mean %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_modesty_pct,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,-0.24919587675016025,0.530515783521074,-0.4697237754100888,0.6395853708712371,700,100,0.7794946707493202,Big Five Agreeableness Modesty %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_straightforwardness_pct,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,-0.8228999826181147,0.5144161706673933,-1.5996775170393664,0.11285676332054995,700,100,0.323210726710202,Big Five Agreeableness Straightforwardness %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_tender_mindedness_pct,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,-0.33223979873691567,0.5383898746066899,-0.6170988987852473,0.5385861843665464,700,100,0.7144510608943982,Big Five Agreeableness Tender Mindedness %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_trust_pct,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,-0.7380265131221052,0.4991926944195055,-1.4784401321824865,0.1424646872768015,700,100,0.3704081869196839,Big Five Agreeableness Trust %,Big Five: Agreeableness
